"player","team","season","fitted","actual","residual","id"
"tracy mcgrady","New York Knicks",2010,8.8386665600428,26.7620528804532,17.923386320966,"tracy mcgrady (2010)"
"stephon marbury","New York Knicks",2009,6.67120843814105,24.3931039794417,17.7218955403505,"stephon marbury (2009)"
"michael finley","San Antonio Spurs",2008,8.1866610746891,25.304871917999,17.1182108429212,"michael finley (2008)"
"vince carter","Dallas Mavericks",2012,6.98632255340486,23.2958069083566,16.309484355642,"vince carter (2012)"
"chandler parsons","Memphis Grizzlies",2017,6.80875891453729,22.6569700413233,15.8482111263638,"chandler parsons (2017)"
"rashard lewis","Washington Wizards",2012,7.7605283743071,23.1171302567692,15.3566018832629,"rashard lewis (2012)"
"allen crabbe","Portland Trailblazers",2017,3.69528622754935,18.9518779099317,15.2565916829685,"allen crabbe (2017)"
"andre drummond","Detroit Pistons",2017,8.60889430614189,22.6569700413233,14.0480757348437,"andre drummond (2017)"
"joe johnson","Miami Heat",2016,9.33682186750109,23.3250932918357,13.9882714239462,"joe johnson (2016)"
"mike conley","Memphis Grizzlies",2017,13.9322501276429,27.188364049588,13.2561139220256,"mike conley (2017)"
